Locomotion,Speed (um/s)
crawl,1.47
crawl,1.47
crawl,1.2995
crawl,1.37525
crawl,1.37525
crawl,1.37525
crawl,1.37525
crawl,1.37525
crawl,1.37525
crawl,1.37525
crawl,1.37525
crawl,1.4595
crawl,1.4595
crawl,2.5215
crawl,2.5215
crawl,2.5215
crawl,2.5215
crawl,3.9105
crawl,3.9105
crawl,3.9105
crawl,3.9105
crawl,3.2025
crawl,3.2025
crawl,3.2025
crawl,3.2025
crawl,3.2025
crawl,3.354
crawl,4.9135
crawl,4.9135
crawl,4.9135
crawl,4.9135
crawl,4.8215
crawl,4.8215
crawl,4.8215
crawl,4.8945
crawl,4.8945
crawl,4.8945
crawl,4.8945
crawl,4.79225
crawl,4.79225
crawl,4.79225
crawl,4.79225
crawl,4.79225
crawl,4.7165
crawl,4.7165
crawl,5.90525
crawl,5.90525
crawl,5.90525
crawl,5.90525
crawl,5.90525
crawl,6.03825
crawl,5.954
crawl,5.954
crawl,4.892
crawl,4.892
crawl,4.892
crawl,6.2785
crawl,4.8895
crawl,4.8895
crawl,4.99175
crawl,4.99175
crawl,5.084
crawl,5.084
crawl,5.084
crawl,5.084
crawl,5.084
crawl,5.82525
crawl,4.26575
crawl,4.41975
crawl,4.61575
crawl,4.61575
crawl,4.6775
crawl,4.6775
crawl,4.6775
crawl,4.9355
crawl,4.9355
crawl,4.9355
crawl,4.997
crawl,4.997
crawl,4.997
crawl,4.997
crawl,4.997
crawl,4.997
crawl,4.997
crawl,4.997
crawl,3.80825
crawl,3.93125
crawl,3.93125
crawl,4.08475
crawl,4.08475
crawl,4.072
crawl,4.20325
crawl,4.3345
crawl,4.3345
crawl,5.29575
crawl,5.29575
crawl,3.90925
crawl,3.90925
crawl,3.90925
crawl,4.0645
crawl,4.0645
crawl,3.751
crawl,3.751
crawl,3.751
crawl,4.22525
crawl,4.22525
crawl,3.3325
crawl,3.3325
crawl,3.2795
crawl,3.13175
crawl,3.41425
crawl,3.1765
crawl,3.1765
crawl,3.255
crawl,2.924
crawl,2.924
crawl,2.924
crawl,2.8625
crawl,4.7885
crawl,4.7885
crawl,4.7885
crawl,4.7885
crawl,4.86525
crawl,4.86525
crawl,4.942
crawl,5.146
crawl,5.023
crawl,5.023
crawl,4.8695
crawl,4.8695
crawl,4.74925
crawl,4.618
crawl,4.48675
crawl,4.48675
crawl,3.81175
crawl,3.81175
crawl,3.81175
crawl,3.81175
crawl,4.11375
crawl,3.85625
crawl,3.85625
crawl,3.8935
crawl,3.8935
crawl,3.8935
crawl,3.41925
crawl,3.41925
crawl,3.41925
crawl,3.41925
crawl,3.722
crawl,3.67375
crawl,3.39125
crawl,3.39125
crawl,3.65125
crawl,3.57275
crawl,3.57275
crawl,3.57275
crawl,3.57275
crawl,3.57275
crawl,1.64675
crawl,1.64675
crawl,1.64675
crawl,1.64675
crawl,1.57
crawl,1.57
crawl,1.49325
crawl,1.28925
crawl,1.28925
crawl,1.28925
crawl,1.28925
crawl,1.28925
crawl,1.28925
crawl,1.28925
crawl,1.28925
crawl,1.28925
crawl,1.003
crawl,1.003
crawl,1.1135
crawl,1.1135
crawl,0.8115
crawl,1.5265
crawl,2.3085
crawl,2.27125
crawl,2.27125
crawl,2.27125
crawl,3.65925
crawl,4.335
crawl,5.239
crawl,5.239
crawl,4.83525
crawl,5.61725
crawl,6.70425
crawl,7.4665
crawl,7.2065
crawl,7.2065
crawl,7.32675
crawl,7.32675
crawl,7.32675
crawl,7.32675
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,8.10475
crawl,8.10475
crawl,8.10475
crawl,8.10475
crawl,8.10475
crawl,7.99425
crawl,7.99425
crawl,7.99425
crawl,8.15475
crawl,7.37275
crawl,7.37275
crawl,7.37275
crawl,8.1545
crawl,6.7665
