time,speed
10767.955,20.99
10788.755,9.93
10817.056,10.73
10843.155,7.61
10867.654,13.53
10891.756,13.11
10911.457,5.35
10935.052,8.12
10954.052,5.17
10975.554,15.04
10992.655,2.3
11004.554,6.72
11021.155,12.72
11035.854,20.0
11050.654,22.0
11069.856,9.78
11092.956,9.77
11123.556,16.11
11154.855,11.64
11185.055,16.33
11212.057,15.77
11252.454,14.25
11301.957,7.29
11352.654,9.67
11394.254,12.41
11422.758,11.88
11449.253,13.33
11469.854,1.79
11490.254,28.95
11513.154,22.51
11531.854,14.63
11552.358,9.71
11572.958,0.0
11591.456,10.85
11612.058,14.99
11636.057,60.32
11656.054,30.73
11674.154,21.52
11689.255,3.34
11703.454,9.92
11718.255,6.35
11733.554,7.47
11752.356,17.55
11774.754,20.68
11808.455,19.23
11832.655,13.72
11867.356,23.13
11901.954,21.48
11934.558,23.21
11969.554,9.57
12004.854,18.59
12033.255,15.49
12067.055,23.93
12098.256,13.61
12130.856,3.63
12152.454,19.39
12174.258,17.46
12193.456,14.71
12210.155,4.4
12241.457,5.11
12268.455,7.28
12298.256,13.68
12320.255,3.68
12343.356,10.1
12363.155,15.74
12385.155,20.55
12405.256,11.65
12431.556,6.13
12451.457,13.31
12474.858,11.19
12492.755,17.15
12510.358,11.55
12529.357,4.98
12550.258,44.4
12566.159,56.56
12585.759,32.15
12611.654,10.58
12636.458,15.07
12659.659,29.76
12687.454,6.36
12712.155,26.85
12741.76,28.87
12769.056,8.42
12796.956,18.41
12819.753,18.33
12842.055,12.5
12864.455,16.79
12886.354,21.43
12905.256,20.33
12922.855,18.23
12940.055,28.46
12955.859,25.07
12972.157,32.59
12988.657,24.23
13005.556,28.01
13021.758,34.63
13035.955,10.01
13051.455,32.47
13065.359,27.71
13077.255,31.03
13086.656,5.31
13100.558,10.71
13120.259,9.84
13169.855,14.24
13195.155,18.07
13224.055,16.32
13244.958,19.56
13261.858,18.82
13280.357,16.01
13301.554,13.36
13330.059,23.13
13374.459,26.93
13421.558,13.72
13475.658,13.8
13533.659,18.77
13581.856,11.0
13694.756,12.38
13742.254,6.38
13776.555,7.33
13819.255,12.37
13859.757,13.02
13887.459,27.07
13915.155,8.48
13941.557,10.07
13965.354,5.46
13987.255,5.44
14010.356,0.54
14030.857,9.81
14054.655,12.47
14088.158,2.64
14115.055,11.49
14139.859,8.67
