xval,yval,time,platxval,platyval,orgxval,orgyval,,
-17739.26715,2505.81672,2041.764,-17639.26715,2205.38972,-100,100,,
-17739.26715,2471.425474,2042.364,-17639.26715,2170.998474,-100,100,,
-17739.26715,2471.425474,2042.664,-17639.26715,2170.998474,-100,100,,
-17739.26715,2471.425474,2043.06,-17639.26715,2170.998474,-100,100,,
-17739.26715,2471.425474,2043.362,-17639.26715,2170.998474,-100,100,,
-17739.26715,2471.425474,2043.665,-17639.26715,2170.998474,-100,100,,
-17739.26715,2453.988022,2044.062,-17639.26715,2153.561022,-100,100,,
-17739.26715,2453.988022,2044.363,-17639.26715,2153.561022,-100,100,,
-17739.26715,2453.988022,2044.665,-17639.26715,2153.561022,-100,100,,
-17739.26715,2453.988022,2045.362,-17639.26715,2153.561022,-100,100,,
-17639.26715,2453.988022,2047.861,-17639.26715,2153.561022,0,100,,
-17639.26715,2553.988022,2048.661,-17639.26715,2153.561022,0,200,,
-17639.26715,2453.988022,2049.262,-17639.26715,2153.561022,0,100,,
-17639.26715,2453.988022,2049.563,-17639.26715,2153.561022,0,100,,
-17639.26715,2453.988022,2049.862,-17639.26715,2153.561022,0,100,,
-17539.26715,2453.988022,2050.264,-17639.26715,2153.561022,100,100,,
-17539.26715,2453.988022,2050.662,-17639.26715,2153.561022,100,100,,
-17539.26715,2453.988022,2051.362,-17639.26715,2153.561022,100,100,,
-17539.26715,2453.988022,2052.26,-17639.26715,2153.561022,100,100,,
-17539.26715,2453.988022,2052.763,-17639.26715,2153.561022,100,100,,
-17539.26715,2453.988022,2052.86,-17639.26715,2153.561022,100,100,,
-17539.26715,2453.988022,2053.162,-17639.26715,2153.561022,100,100,,
-17539.26715,2453.988022,2053.261,-17639.26715,2153.561022,100,100,,
-17439.26715,2453.988022,2053.764,-17639.26715,2153.561022,200,100,,
-17439.26715,2453.988022,2053.862,-17639.26715,2153.561022,200,100,,
-17439.26715,2453.988022,2054.263,-17639.26715,2153.561022,200,100,,
-17439.26715,2453.988022,2054.563,-17639.26715,2153.561022,200,100,,
-17439.26715,2453.988022,2054.959,-17639.26715,2153.561022,200,100,,
-17199.12194,2453.988022,2055.362,-17399.12194,2153.561022,200,100,,
-17169.50051,2453.988022,2056.363,-17369.50051,2153.561022,200,100,,
-17169.50051,2453.988022,2056.462,-17369.50051,2153.561022,200,100,,
-17257.95191,2453.988022,2056.962,-17357.95191,2153.561022,100,100,,
-17151.3209,2453.988022,2057.062,-17351.3209,2153.561022,200,100,,
-17133.49713,2453.988022,2058.764,-17333.49713,2153.561022,200,100,,
-17133.49713,2453.988022,2058.863,-17333.49713,2153.561022,200,100,,
-17097.68914,2453.988022,2060.263,-17297.68914,2153.561022,200,100,,
-17085.82262,2453.988022,2060.36,-17285.82262,2153.561022,200,100,,
-17150.19933,2453.988022,2061.162,-17250.19933,2153.561022,100,100,,
-17150.19933,2553.988022,2061.464,-17250.19933,2153.561022,100,200,,
-17150.19933,2553.988022,2061.564,-17250.19933,2153.561022,100,200,,
-17150.19933,2553.988022,2063.261,-17250.19933,2153.561022,100,200,,
-17150.19933,2553.988022,2063.363,-17250.19933,2153.561022,100,200,,
