xval,yval,time,platxval,platyval,orgxval,orgyval,,
-872.5320449,1950.488695,137.284,-672.5320449,1850.488695,-200,100,,
-872.5320449,1950.488695,137.485,-672.5320449,1850.488695,-200,100,,
-872.5320449,1950.488695,138.38,-672.5320449,1850.488695,-200,100,,
-906.424427,1967.188918,139.783,-706.424427,1867.188918,-200,100,,
-906.424427,1967.188918,140.481,-706.424427,1867.188918,-200,100,,
-923.2494688,2014.834076,142.38,-723.2494688,1914.834076,-200,100,,
-884.3635374,2030.821376,143.682,-784.3635374,1930.821376,-100,100,,
-984.3635374,2030.821376,144.283,-784.3635374,1930.821376,-200,100,,
-984.3635374,2030.821376,144.581,-784.3635374,1930.821376,-200,100,,
-984.3635374,2030.821376,145.882,-784.3635374,1930.821376,-200,100,,
-940.8121702,2030.821376,146.382,-840.8121702,1930.821376,-100,100,,
-940.8121702,2030.821376,147.184,-840.8121702,1930.821376,-100,100,,
-940.8121702,2071.356332,147.782,-840.8121702,1971.356332,-100,100,,
-1040.81217,2071.356332,149.684,-840.8121702,1971.356332,-200,100,,
-1040.81217,2071.356332,150.483,-840.8121702,1971.356332,-200,100,,
-1054.319712,2071.356332,151.282,-854.3197122,1971.356332,-200,100,,
-1067.827019,2071.356332,152.481,-867.8270194,1971.356332,-200,100,,
-1067.827019,2071.356332,152.58,-867.8270194,1971.356332,-200,100,,
-1067.827019,2071.356332,152.682,-867.8270194,1971.356332,-200,100,,
-1067.827019,2071.356332,152.785,-867.8270194,1971.356332,-200,100,,
-1067.827019,2071.356332,154.081,-867.8270194,1971.356332,-200,100,,
-1106.934955,2108.694731,155.88,-906.9349554,2008.694731,-200,100,,
-1106.934955,2108.694731,155.984,-906.9349554,2008.694731,-200,100,,
-1145.002246,2108.694731,157.785,-945.0022465,2008.694731,-200,100,,
-1145.002246,2108.694731,157.884,-945.0022465,2008.694731,-200,100,,
-1157.281974,2108.694731,157.983,-957.2819743,2008.694731,-200,100,,
-1168.824943,2120.974517,158.081,-968.824943,2020.974517,-200,100,,
-1119.425122,2145.042742,159.18,-1019.425122,2045.042742,-100,100,,
-1219.425122,2184.325753,161.181,-1019.425122,2084.325753,-200,100,,
-1219.425122,2184.325753,162.983,-1019.425122,2084.325753,-200,100,,
